sentence_id,words,labels
1,Home,O
1,Point,O
1,recorded,O
2,GPS,B-FNC
2,Position,O
2,Mismatch,O
3,GPS,B-FNC
3,Position,O
3,Mismatch,O
4,Switched,O
4,to,O
4,P,B-STE
4,Positioning,B-STE
4,Mode,I-STE
5,GPS,B-FNC
5,Position,O
5,Mismatch,O
6,Attitude,O
6,is,O
6,too,O
6,large,O
7,Home,O
7,Point,O
7,Recorded,O
7,RTH,B-ACT
7,Altitude,O
7,30m,O
8,Large,O
8,Wind,B-ISS
8,Velocity,I-ISS
9,GPS,B-FNC
9,Position,O
9,Mismatch,O
10,Attitude,O
10,is,O
10,too,O
10,large,O
11,Weak,O
11,signal,O
11,Avoid,O
11,blocking,O
11,the,O
11,antennas,O
11,and,O
11,keep,O
11,the,O
11,antennas,O
11,parallel,O
11,to,O
11,and,O
11,facing,O
11,toward,O
11,the,O
11,aircraft,B-CMP
11,during,O
11,flight,O
12,GPS,B-FNC
12,Position,O
12,Mismatch,O
13,GPS,B-FNC
13,Position,O
13,Mismatch,O
14,Landing,B-CMP
14,Gear,I-CMP
14,Lowering,B-ACT
15,To,O
15,take,O
15,off,O
15,in,O
15,mode,O
15,toggle,O
15,Flight,O
15,Mode,O
15,Switch,O
15,to,O
15,another,O
15,mode,O
15,and,O
15,then,O
15,toggle,O
15,it,O
15,back,O
16,GPS,B-FNC
16,Position,O
16,Mismatch,O
17,GPS,B-FNC
17,Position,O
17,Mismatch,O
18,Landing,B-CMP
18,gear,I-CMP
18,Avoidance,O
18,Disabled,O
19,Strong,O
19,Interference,B-ISS
19,to,O
19,Aircraft,B-CMP
19,Signal,O
19,interruption,O
19,may,O
19,be,O
19,more,O
19,likely,O
19,Fly,O
19,with,O
19,caution,O
20,Fly,O
20,with,O
20,caution,O
20,and,O
20,ensure,O
20,the,O
20,aircraft,B-CMP
20,remains,O
20,within,O
20,your,O
20,line,O
20,of,O
20,sight,O
21,Switched,O
21,to,O
21,T,B-STE
21,Tripod,B-STE
21,Mode,I-STE
22,GPS,B-FNC
22,Position,O
22,Mismatch,O
23,GPS,B-FNC
23,Position,O
23,Mismatch,O
24,GPS,B-FNC
24,Position,O
24,Mismatch,O
25,GPS,B-FNC
25,Position,O
25,Mismatch,O
26,In,B-STE
26,Flight,I-STE
27,Attitude,O
27,is,O
27,too,O
27,large,O
28,GPS,B-FNC
28,Position,O
28,Mismatch,O
29,GPS,B-FNC
29,Position,O
29,Mismatch,O
30,Remote,O
30,controller,O
30,assisted,O
30,takeoff,O
30,initiated,O
31,GPS,B-FNC
31,Position,O
31,Mismatch,O
32,Data,O
32,Recorder,O
32,File,O
32,Index,O
32,is,O
32,9,O
33,GPS,B-FNC
33,Position,O
33,Mismatch,O
34,Home,O
34,Point,O
34,Recorded,O
34,RTH,O
34,Altitude,O
34,30m,O
35,GPS,B-FNC
35,Position,O
35,Mismatch,O
36,Switched,O
36,to,O
36,P,B-STE
36,Positioning,B-STE
36,Mode,I-STE
37,Switched,I-STE
37,to,O
37,P,B-STE
37,Positioning,B-STE
37,Mode,I-STE
38,GPS,B-FNC
38,Position,O
38,Mismatch,O
39,The,O
39,remaining,O
39,battery,B-CMP
39,is,O
39,only,O
39,enough,O
39,for,O
39,RTH,B-ACT
39,Return,O
39,home,O
39,now,O
40,Landing,B-CMP
40,gear,I-CMP
40,Avoidance,O
40,Disabled,O
41,Switched,O
41,to,O
41,S,B-STE
41,Sport,B-STE
42,GPS,B-FNC
42,Position,O
42,Mismatch,O
43,GPS,B-FNC
43,Position,O
43,Mismatch,O
44,GPS,B-FNC
44,Position,O
44,Mismatch,O
45,Attitude,O
45,is,O
45,too,O
45,large,O
46,GPS,B-FNC
46,Position,O
46,Mismatch,O
47,Landing,B-FNC
47,Protection,I-FNC
47,Activated,O
47,Aircraft,B-CMP
47,will,O
47,decelerate,O
47,during,O
47,landing,B-ACT
48,Taking,B-ACT
48,Off,I-ACT
49,Maximum,B-ISS
49,flight,I-ISS
49,distance,I-ISS
49,reached,O
49,Adjust,O
49,the,O
49,distance,O
49,in,O
49,MC,O
49,Settings,B-FNC
49,if,O
49,required,O
50,GPS,B-FNC
50,Position,O
50,Mismatch,O
51,GEO,O
51,You,O
51,are,O
51,in,O
51,a,O
51,Warning,B-ISS
51,Zone,I-ISS
51,School,O
51,Fly,O
51,with,O
51,caution,O
52,GPS,B-FNC
52,Position,O
52,Mismatch,O
53,RTH,B-ACT
53,Altitude,O
53,65FT,O
54,In,B-STE
54,Flight,I-STE
55,GPS,B-FNC
55,Position,O
55,Mismatch,O
56,GPS,B-FNC
56,Position,O
56,Mismatch,O
57,Obstacle,O
57,Avoided,B-ACT
57,Revise,O
57,Flight,O
57,Route,O
58,GPS,B-FNC
58,Position,O
58,Mismatch,O
59,GPS,B-FNC
59,Position,O
59,Mismatch,O
60,GPS,B-FNC
60,Position,O
60,Mismatch,O
61,To,O
61,take,O
61,off,O
61,in,O
61,mode,O
61,toggle,O
61,Flight,O
61,Mode,O
61,Switch,O
61,to,O
61,another,O
61,mode,O
61,and,O
61,then,O
61,toggle,O
61,it,O
61,back,O
62,GPS,B-FNC
62,Position,O
62,Mismatch,O
63,Landing,B-FNC
63,Protection,I-FNC
63,Activated,O
63,Aircraft,B-CMP
63,will,O
63,decelerate,O
63,during,O
63,landing,B-ACT
64,Drag,O
64,a,O
64,box,O
64,around,O
64,or,O
64,tap,O
64,a,O
64,target,O
64,on,O
64,screen,O
64,Then,O
64,tap,O
64,Go,O
65,GPS,B-FNC
65,Position,O
65,Mismatch,O
66,Max,B-ISS
66,Flight,I-ISS
66,Distance,I-ISS
66,Reached,O
66,Adjust,O
66,in,O
66,Main,O
66,Controller,B-CMP
66,Settings,B-FNC
66,if,O
66,necessary,O
67,Home,O
67,Point,O
67,Recorded,O
67,RTH,B-ACT
67,Altitude,O
67,ÃÂ,O
67,30m,O
68,Compass,B-CMP
68,abnormalSolution,O
68,1,O
68,Ensure,O
68,there,O
68,are,O
68,no,O
68,magnets,O
68,or,O
68,metal,O
68,objects,O
68,near,O
68,the,O
68,aircraft,B-CMP
68,The,O
68,ground,O
68,or,O
68,walls,O
68,may,O
68,contain,O
68,metal,O
68,Move,O
68,away,O
68,from,O
68,sources,O
68,of,O
68,interference,B-ISS
68,before,O
68,attempting,O
68,flight,O
68,2,O
68,Calibrate,B-ACT
68,Compass,B-CMP
68,Before,O
68,Takeoff,O
69,GPS,B-FNC
69,Position,O
69,Mismatch,O
70,Taking,B-ACT
70,Off,I-ACT
71,GPS,B-FNC
71,Position,O
71,Mismatch,O
72,GPS,B-FNC
72,Position,O
72,Mismatch,O
73,Large,O
73,Wind,B-ISS
73,Velocity,I-ISS
74,High,O
74,wind,B-ISS
74,velocity,I-ISS
74,Fly,O
74,with,O
74,caution,O
75,High,O
75,wind,B-ISS
75,velocity,I-ISS
75,Fly,O
75,with,O
75,caution,O
76,GPS,B-FNC
76,Position,O
76,Mismatch,O
77,Switched,O
77,to,O
77,S,B-STE
77,Sport,B-STE
77,Mode,I-STE
78,Max,B-ISS
78,Flight,I-ISS
78,Distance,I-ISS
78,Reached,O
78,Adjust,O
78,in,O
78,Main,O
78,Controller,B-CMP
78,Settings,B-FNC
78,if,O
78,necessary,O
79,Home,O
79,Point,O
79,Updated,O
80,Home,O
80,Point,O
80,Updated,O
81,Gimbal,B-CMP
81,Pitch,I-CMP
81,Limit,O
81,Reached,O
82,Switched,O
82,to,O
82,P,B-STE
82,Positioning,B-STE
82,Mode,I-STE
83,GPS,B-FNC
83,Position,O
83,Mismatch,O
84,Max,B-ISS
84,Flight,I-ISS
84,Distance,I-ISS
84,Reached,O
84,Adjust,O
84,in,O
84,Main,O
84,Controller,B-CMP
84,Settings,B-FNC
84,if,O
84,necessary,O
85,Home,O
85,Point,O
85,Recorded,O
85,RTH,B-ACT
85,Altitude,O
85,30m,O
86,Attitude,O
86,is,O
86,too,O
86,large,O
